0.01,20
0.02,12.98666667
0.1,12.1225
0.2,11.32375
0.3,10.59166667
0.5,9.725416667
1,8.329583333
1.5,8
2,7.265416667
2.5,7
3,6.86625
3.5,6.8
4,6.73375
4.5,6.6675
5,6.60125
5.5,6.535
6,6.46875
6.5,6.4025
7,6.33625
7.5,6.27
8,6.20375
8.5,6.1375
9,6.07125
9.5,6.005
10,6.00125
10.5,5.99025
11,5.97925
11.5,5.96825
12,5.95725
12.5,5.94625
13,5.93525
13.5,5.92425
14,5.91325
14.5,5.90225
15,5.89125
15.5,5.88025
16,5.86925
16.5,5.85825
17,5.84725
17.5,5.83625
18,5.82525
18.5,5.81425
19,5.801666667
19.5,5.78
20,5.75
