0.09,24.69666667
0.1,18.77666667
0.11,13.51666667
0.12,9.396666667
0.13,6.336666667
0.14,4.266666667
0.15,2.896666667
0.16,1.956666667
0.17,1.386666667
0.18,0.996666667
0.19,0.776666667
0.2,0.586666667
0.21,0.456666667
0.22,0.406666667
0.23,0.326666667
0.24,0.316666667
0.25,0.266666667
0.26,0.226666667
0.27,0.206666667
0.28,0.186666667
0.29,0.166666667
0.3,0.136666667
0.31,0.126666667
0.32,0.116666667
0.33,0.096666667
0.34,0.076666667
0.35,0.056666667
,
3,28.15666667
3.1,22.96666667
3.2,18.84666667
3.3,15.51666667
3.4,12.65666667
3.5,10.51666667
3.6,8.216666667
3.7,7.216666667
3.8,5.996666667
3.9,5.086666667
4,4.206666667
4.1,3.616666667
4.2,3.086666667
4.3,2.646666667
4.4,2.286666667
4.5,1.976666667
4.6,1.816666667
4.7,1.586666667
4.8,1.416666667
4.9,1.376666667
5,1.106666667
5.2,0.916666667
5.4,0.766666667
5.6,0.666666667
5.8,0.566666667
6,0.486666667
6.2,0.426666667
6.4,0.406666667
6.6,0.386666667
6.8,0.296666667
7,0.276666667
,
0.4,0.125
0.5,0.175833333
0.6,0.245
0.7,0.358333333
0.8,0.516666667
0.9,0.852083333
1,1.34375
1.1,2.408333333
1.2,4.204583333
1.3,7.1325
1.4,11.52333333
1.5,18.04333333
1.6,27.15875
,
0.05,3.46
0.1,3.50625
0.5,3.737083333
1,3.872083333
3,4.470833333
5,4.80375
10,5.335833333
20,5.735
