1,-3,0.505149978
2,-0.443697499,0.531478917
3,-0.200659451,0.328379603
4,-3,3
5,-0.455931956,0.26245109
6,-0.259637311,0.130333768
7,-3,3
8,-3,1
9,-1.22184875,0.799340549
10,-0.167491087,0.342422681
11,-0.619788758,0.278753601
12,-3,3
13,-3,3
14,-0.193820026,0.322219295
15,-3,0.544068044
16,-3,1.278753601
17,-3,3
18,-0.22184875,0.342422681
19,-3,0.740362689
20,-3,3
21,-0.522878745,0.51851394
22,-0.366531544,0.235528447
23,-0.443697499,3
24,-0.26760624,0.1430148
25,-0.15490196,0.380211242
26,-1.301029996,3
27,-0.397940009,3
28,-3,3
29,-3,3
30,-3,0.51851394
31,-3,0.204119983
32,-0.214670165,0.130333768
33,-3,3
34,-3,3
35,-3,3
36,-0.795880017,3
37,-3,3
38,-3,3
39,-3,3
40,-3,3
41,-0.522878745,3
42,-1,0.568201724
43,-3,0.954242509
44,-3,3
45,-3,3
46,-3,3
47,-3,3
48,-3,3
